Name,Slot/Stapel,Count,Heizsystem,Kosten,BauEmissionen,SofortCO2,Strombedarf,Stromproduktion,Stromspeicher,Wärmeschutz,Wärmepumpen-Effizienz,Zufriedenheit,SofortBudget,REAL Kosten,REAL BauEmissionen,REAL Sofort CO2,REAL Strombedarf,REAL Stromproduktion,REAL Stromspeicher,REAL Wärmeschutz,REAL Wärmepumpen-Effizienz,Voraussetzung Spalte,Voraussetzung Wert,Voraussetzung Wert NICHT,EffektLine,EffektParsed,Beschreibung
Balkonkraftwerk,*Effizienz,1,,0,,0,0,1,0,,,,,,,,,5,,,,,,,+1SP,SP,"Ein Balkonkraftwerk hat nur maximal 800 Watt (etwa zwei Paneele), bietet aber den Vorteil einer einfacheren Installation und Bedienung."
E-Herd,*Effizienz,1,,1,-3,0,1,0,0,,,,,,-5,,5,,,,,,,,"-3EN&nbsp;+1BM",EMEMEMXXBM,"Ein E-Herd ersetzt das Kochen mit Gas und reduziert damit die direkte Nutzung fossiler Energie in der Wohnung. Er erhöht den Strombedarf etwas, ist aber einfach umsetzbar und verbessert die Alltagstauglichkeit eines vollständig elektrifizierten Gebäudes."
Fassadenintegrierte PV,*Effizienz,1,,3,,0,0,4,0,,,,,,,,,20,,,,Name,,Fassadenbegrünung ,+4SP,SPSPSPSP,"Fassaden-PV nutzt zusätzlich zur Dachfläche auch die Gebäudehülle zur Stromerzeugung. Sie ist teurer und stärker von Orientierung, Verschattung und Gestaltung abhängig, kann aber zusätzliche Emissionen einsparen, wenn das Dachpotenzial begrenzt ist."
LED Beleuchtung,*Effizienz,1,,1,,0,-2,0,0,,,,,,,,-10,,,,,,,,-2BM,BPBP,"LED-Beleuchtung ersetzt alte Leuchtmittel und senkt den Strombedarf für Beleuchtung deutlich. Sie ist günstig, einfach umzusetzen und verbessert je nach Bestand auch Lichtqualität und Nutzerzufriedenheit."
Wärmerückgewinnung des Duschwassers,*Effizienz,1,,1,,0,0,0,0,,1,,,,,,0,,,,1,Heizsystem,WP,,+1EF,EF,"Die Wärme des abfließenden Duschwassers wird genutzt, um frisches Wasser vorzuwärmen. Dadurch müssen Wärmepumpen weniger leisten und arbeitet effizienter, der Einbau ist aber technisch nur bei passenden Leitungswegen sinnvoll."
Bi-Direktionelles Laden,*Flexibilität,1,,0,,0,-2,0,4,,,-1,,,,,-10,,20,,,Name,E-Car Lade-Infrastruktur,,"-2BM&nbsp;+4FL&nbsp;-1ZU",BPBPXXFLFLFLFLXXZM,"Ermöglicht die Lastverschiebung über den elektrischen Speicher der E-Auto-Batterie, der Abends wieder teilweise entladen wird. Die Unterstützung der Nutzer ist allerdings nötig."
Effiziente Haushaltsgeräte,*Flexibilität,1,,0,,0,-2,0,0,,,-1,,,,,-10,,,,,Heizsystem,WP,,"-2BM&nbsp;-1ZU",BPBPXXZM,"Effizienteste Haushaltsgeräte können den dStromverbrauch deutlich reduzieren"
Flexibles Lastmanagement,*Flexibilität,1,,0,,0,1,0,4,,,-1,,,,,5,,20,,,,,,"+1BM&nbsp;+4FL&nbsp;-1ZU",BMXXFLFLFLFLXXZM,"Wenn die Nutzer mitspielen, können Verbraucher wie Waschmaschinen oder Geschirrspüler dann einschalten, wenn Erneuerbare zur Verfügung stehen."
Grosser Batteriespeicher,*Flexibilität,1,,2,,0,0,0,5,,,,,,,,0,,25,,,,,,+5FL,FLFLFLFLFL,"Batteriespeicher werden immer günstiger. Sie können den eigenen PV-Strom in  den Abend retten und vermeiden so dreckigeren Netzbezug."
Kleiner Heimspeicher,*Flexibilität,1,,1,,0,0,0,2,,,,,,,,,,10,,,,,,+2FL,FLFL,"Batteriespeicher werden immer günstiger. Sie können den eigenen PV-Strom in  den Abend retten und vermeiden so dreckigeren Netzbezug."
