name,rule,draw_n,category_count,cards_per_category,pass_probability,experiment
category_1x3,random_categories,7,1,3,0.0,category_1x3_pass_0
category_1x3,random_categories,7,1,3,0.1,category_1x3_pass_0.1
category_1x3,random_categories,7,1,3,0.25,category_1x3_pass_0.25
category_1x3,random_categories,7,1,3,0.5,category_1x3_pass_0.5
category_2x3,random_categories,7,2,3,0.0,category_2x3_pass_0
category_2x3,random_categories,7,2,3,0.1,category_2x3_pass_0.1
category_2x3,random_categories,7,2,3,0.25,category_2x3_pass_0.25
category_2x3,random_categories,7,2,3,0.5,category_2x3_pass_0.5
random_10,random_draw,10,1,3,0.0,random_10_pass_0
random_10,random_draw,10,1,3,0.1,random_10_pass_0.1
random_10,random_draw,10,1,3,0.25,random_10_pass_0.25
random_10,random_draw,10,1,3,0.5,random_10_pass_0.5
random_20,random_draw,20,1,3,0.0,random_20_pass_0
random_20,random_draw,20,1,3,0.1,random_20_pass_0.1
random_20,random_draw,20,1,3,0.25,random_20_pass_0.25
random_20,random_draw,20,1,3,0.5,random_20_pass_0.5
random_30,random_draw,30,1,3,0.0,random_30_pass_0
random_30,random_draw,30,1,3,0.1,random_30_pass_0.1
random_30,random_draw,30,1,3,0.25,random_30_pass_0.25
random_30,random_draw,30,1,3,0.5,random_30_pass_0.5
