experiment,status,games,decisions,runtime_s
category_1x3_pass_0,simulated,10000,64824,3.8312418999994406
category_1x3_pass_0.1,simulated,10000,63038,3.954888400001437
category_1x3_pass_0.25,simulated,10000,59491,3.1626558999996632
category_1x3_pass_0.5,simulated,10000,51419,2.870702500000334
category_2x3_pass_0,simulated,10000,95033,5.625483099998746
category_2x3_pass_0.1,simulated,10000,92704,5.813256999999794
category_2x3_pass_0.25,simulated,10000,84979,5.144516000000294
category_2x3_pass_0.5,simulated,10000,67211,3.3353045000003476
random_10_pass_0,simulated,10000,126049,4.133593000000474
random_10_pass_0.1,simulated,10000,119118,4.673285099999703
random_10_pass_0.25,simulated,10000,101312,3.926735400000325
random_10_pass_0.5,simulated,10000,72458,2.4025694000010844
random_20_pass_0,simulated,10000,134629,6.527674700000716
random_20_pass_0.1,simulated,10000,128847,5.793879599999855
random_20_pass_0.25,simulated,10000,109116,4.317532499999288
random_20_pass_0.5,simulated,10000,74084,2.7984027000002243
random_30_pass_0,simulated,10000,135079,6.725705200000448
random_30_pass_0.1,simulated,10000,132717,5.705020600000353
random_30_pass_0.25,simulated,10000,113021,6.231849199999488
random_30_pass_0.5,simulated,10000,75256,4.755225799999607
