access_rule,pass_probability,games,mean_vp,median_vp,std_vp,mean_budget,mean_cards
category_1x3,0.0,9134,386.7345084300416,375.0,204.7325578757474,11.469783227501642,6.714254433982921
category_1x3,0.1,9189,433.4108172815323,437.0,215.6959012799968,11.475133311568179,5.847861573620634
category_1x3,0.25,9335,506.88698446705945,529.0,226.52270922346239,11.525334761649706,4.557257632565613
category_1x3,0.5,9536,631.9928691275168,703.0,218.7332073446807,11.751258389261745,2.6082214765100673
category_2x3,0.0,8869,284.0301048596234,257.0,163.2086155995118,10.339384372533544,10.073739993234863
category_2x3,0.1,8960,332.45234375,315.0,181.4782417604915,10.53515625,8.770200892857142
category_2x3,0.25,9129,421.9875123233651,417.0,211.86862862387355,10.814766129915654,6.594807755504436
category_2x3,0.5,9384,584.8637041773231,639.0,225.99998035367068,11.510443307757885,3.384697357203751
random_10,0.0,8555,221.37638807714788,200.0,136.0880924511395,8.283343074225598,13.831209818819405
random_10,0.1,8609,272.9679405273551,252.0,163.4884653228845,8.998373794865838,11.611917760483216
random_10,0.25,8808,371.3236830154405,350.0,210.61817619556206,10.16030881017257,8.03894187102634
random_10,0.5,9216,555.4478081597222,604.0,241.28657882163523,11.455078125,3.697265625
random_20,0.0,8449,222.5897739377441,200.0,140.8547811898897,7.174695230204758,14.800686471771808
random_20,0.1,8551,274.89159162671035,250.0,168.68669963045377,8.132499122909602,12.578879663197286
random_20,0.25,8798,371.1524210047738,351.0,210.46053709026762,9.704932939304387,8.667310752443738
random_20,0.5,9253,553.4089484491516,604.0,243.14140809367296,11.44115422025289,3.7437587809359125
random_30,0.0,8430,219.4196915776987,199.0,142.5695681313918,6.709134045077105,14.781731909845789
random_30,0.1,8496,269.6474811676083,250.0,166.95966855738197,7.638418079096045,12.955037664783427
random_30,0.25,8758,370.7533683489381,350.0,213.45024237414742,9.414478191367893,8.937542817994975
random_30,0.5,9243,557.1392405063291,607.0,242.62892815020152,11.362436438385805,3.8048252731797034
